y_zone,year,strip,pdk,d_rank,dry_or_irr,zone,GG_new,classes
7m,87,5,3,0,0,D,M,low
6f,86,4,1,0,1,D,F,low
1m,91,6,1,5,5,D,M,average
9m,89,5,1,0,0,B,M,low
9c,89,9,2,3,3,D,C,low
1f,91,1,1,1,1,D,F,high
6m,86,6,1,2,0,D,M,average
7c,87,10,2,3,2,D,C,high
0m,90,6,2,2,1,D,M,low
1m,91,6,2,2,1,B,M,low
1c,91,10,1,5,4,D,C,high
7c,87,10,1,3,2,D,C,veryhigh
6c,86,10,5,3,3,D,C,high
7f,87,3,4,2,1,D,F,low
9f,89,2,3,3,4,D,F,veryhigh
0m,90,6,3,4,4,D,M,average
9f,89,1,3,0,0,D,F,low
8m,88,7,1,0,1,B,M,low
0m,90,5,1,0,0,B,M,low
6m,86,6,2,3,3,D,M,average
6c,86,10,3,3,3,D,C,high
1f,91,2,3,2,1,D,F,low
1f,91,1,2,2,2,D,F,average
0f,90,4,2,3,3,D,F,average
2m,92,7,3,3,3,D,M,high
7f,87,3,5,0,1,D,F,low
2f,92,2,2,2,2,D,F,low
9f,89,3,3,4,4,D,F,veryhigh
1c,91,9,3,3,2,B,C,average
9f,89,1,1,4,4,D,F,high
6f,86,3,3,1,1,D,F,high
1f,91,3,1,2,2,D,F,average
9m,89,6,1,2,2,D,M,low
2m,92,7,1,2,1,B,M,average
1m,91,5,2,2,2,B,M,low
0f,90,1,3,1,1,D,F,average
7f,87,1,3,3,3,D,F,veryhigh
2c,92,10,1,3,3,O,C,high
0f,90,2,1,3,3,D,F,high
2f,92,4,2,4,4,D,F,veryhigh
9f,89,2,2,2,1,D,F,veryhigh
2f,92,3,1,3,3,D,F,high
0c,90,9,3,4,4,D,C,average
9m,89,5,2,3,4,D,M,veryhigh
1c,91,9,1,3,2,D,C,high
8c,88,9,3,2,0,D,C,high
9f,89,3,1,1,1,D,F,average
1m,91,7,1,0,0,B,M,low
6f,86,3,1,1,0,D,F,low
1f,91,2,1,3,3,D,F,high
2f,92,1,4,3,3,D,F,veryhigh
2f,92,2,3,4,4,D,F,average
8m,88,6,3,1,1,D,M,low
8m,88,6,4,0,0,D,M,low
2f,92,3,3,1,1,O,F,high
8c,88,10,1,3,3,O,C,high
6c,86,10,4,3,2,D,C,veryhigh
0c,90,10,1,3,3,O,C,average
2c,92,10,2,1,1,D,C,average
7f,87,2,1,2,1,D,F,high
2c,92,9,1,1,2,D,C,veryhigh
0c,90,9,1,4,2,D,C,high
0f,90,2,3,0,0,D,F,low
2f,92,4,3,1,1,D,F,low
7m,87,5,2,1,2,D,M,average
0f,90,1,1,5,5,D,F,high
2c,92,9,4,1,1,B,C,average
6f,86,3,4,1,0,D,F,high
7c,87,10,4,1,1,O,C,high
2c,92,10,4,3,3,D,C,high
0m,90,7,2,4,3,D,M,average
7m,87,5,4,1,1,D,M,low
0c,90,10,3,5,5,O,C,high
2f,92,1,2,0,0,D,F,average
1c,91,10,2,3,3,O,C,average
0m,90,5,2,5,5,D,M,high
0m,90,6,1,1,1,D,M,low
9f,89,3,2,3,2,D,F,high
8m,88,7,2,0,0,B,M,high
0f,90,3,1,1,1,O,F,average
0f,90,4,3,3,4,D,F,high
2f,92,1,1,1,1,D,F,veryhigh
6c,86,10,1,1,1,D,C,high
0c,90,10,2,4,4,D,C,high
1m,91,5,3,2,2,B,M,low
8f,88,1,2,3,1,D,F,veryhigh
0f,90,3,3,4,4,D,F,high
0f,90,2,2,2,2,D,F,high
1c,91,10,3,2,1,O,C,average
9m,89,6,3,5,4,D,M,average
1c,91,9,2,3,3,D,C,low
8c,88,10,2,5,2,D,C,high
1f,91,4,2,1,2,D,F,average
2c,92,10,3,2,2,O,C,average
9c,89,10,2,2,1,D,C,low
7c,87,10,3,2,2,D,C,high
6f,86,4,2,2,2,D,F,high
2m,92,6,3,4,4,D,M,high
6f,86,3,2,0,0,D,F,high
2m,92,6,2,2,2,D,M,low
9f,89,4,1,4,2,D,F,high
2f,92,2,1,1,1,D,F,average
2m,92,7,2,5,4,D,M,high
9c,89,9,3,2,1,D,C,high
1f,91,4,1,3,2,D,F,low
6f,86,3,5,0,0,D,F,low
8f,88,1,4,2,1,D,F,veryhigh
7c,87,10,5,2,3,D,C,high
7f,87,3,2,1,0,D,F,low
1m,91,5,1,0,1,B,M,low
8f,88,1,0,5,3,D,F,veryhigh
9c,89,10,3,1,3,O,C,average
2f,92,4,1,3,3,D,F,average
0f,90,1,2,1,1,D,F,average
1f,91,2,2,1,1,D,F,average
9m,89,7,1,0,2,B,M,average
9m,89,7,2,1,0,B,M,low
7f,87,3,1,0,1,D,F,low
8c,88,9,1,2,2,D,C,average
7m,87,6,2,2,1,D,M,low
2f,92,3,2,2,2,D,F,average
8f,88,3,3,1,0,D,F,low
2f,92,1,3,3,3,D,F,low
8c,88,10,4,4,3,D,C,high
6c,86,10,2,3,4,O,C,high
8c,88,9,2,1,1,D,C,average
8f,88,3,1,1,1,D,F,low
1m,91,7,2,3,0,D,M,average
0c,90,9,2,2,2,D,C,average
2c,92,9,2,4,4,D,C,high
9c,89,10,1,2,4,O,C,average
1m,91,6,3,3,2,D,M,low
0m,90,5,3,1,1,B,M,high
9f,89,4,2,1,4,D,F,average
8m,88,7,3,1,2,B,M,low
9f,89,2,1,4,1,D,F,veryhigh
1f,91,4,3,1,1,D,F,low
0m,90,7,1,0,0,B,M,low
9m,89,6,2,4,4,D,M,low
8f,88,3,2,2,2,D,F,high
0f,90,4,1,5,4,D,F,average
2m,92,6,1,0,0,B,M,low
1f,91,1,3,5,4,D,F,veryhigh
6m,86,6,3,1,1,D,M,low
1f,91,3,2,0,0,D,F,average
7m,87,6,4,3,1,D,M,high
9f,89,1,2,5,5,D,F,veryhigh
7m,87,5,1,2,3,B,M,low
6f,86,4,3,1,0,D,F,low
9c,89,9,1,1,2,D,C,low
0f,90,3,2,2,3,D,F,average
8f,88,1,1,0,0,D,F,low
9f,89,1,4,2,4,D,F,veryhigh
7f,87,1,2,2,1,D,F,veryhigh
7f,87,3,3,0,0,D,F,low